parish_id,slug,name,line1,line2,city,state,postal_code,name_verified,address_verified,latitude,longitude
all-saints-corning,st-marys-corning,St. Mary's Catholic Church,158 State Street,,Corning,NY,14830,true,true,42.1422899,-77.0609656
net-catholic,all-saints,All Saints Church,347 Ridge Road,,Lansing,NY,14882,true,true,42.5424254,-76.5388303
net-catholic,holy-cross-freeville,Holy Cross Church,375 George Road,,Freeville,NY,13068,true,true,42.5110535,-76.335304
net-catholic,st-anthonys,Saint Anthony's Church,312 Locke Road,,Groton,NY,13073,true,true,42.6039734,-76.3725574
southeast-rochester-catholic-community,blessed-sacrament,Blessed Sacrament Church,534 Oxford St.,,Rochester,NY,14607,true,true,43.1448098,-77.5884847
southeast-rochester-catholic-community,st-boniface,St. Boniface Church,330 Gregory Street,,Rochester,NY,14620,true,true,43.1427736,-77.6027498
southeast-rochester-catholic-community,st-marys-rochester,St. Mary's Church,15 St. Mary's Place,,Rochester,NY,14607,true,true,43.1532543,-77.6060634
blessed-trinity-st-patrick,st-james-waverly,St. James Church,503 Clark Street,,Waverly,NY,14892,,,42.003901,-76.5437655
blessed-trinity-st-patrick,st-john-evangelist-newark-valley,St. John the Evangelist Church,28 Rock Street,,Newark Valley,NY,13811,,,42.2224698,-76.1817146
blessed-trinity-st-patrick,st-margaret-mary-apalachin,St. Margaret Mary Church,1110 Pennsylvania Avenue,,Apalachin,NY,13732,,,42.0588499,-76.1666575
blessed-trinity-st-patrick,st-patrick-owego,St. Patrick Church,300 Main Street,,Owego,NY,13827,,,42.1058625,-76.2576223
catholic-parishes-eastern-wayne-county,st-mary-magdalene,St. Mary Magdalene,15 Northup Avenue,,Wolcott,NY,14590,true,false,43.2197692,-76.8162833
catholic-parishes-eastern-wayne-county,st-thomas,St. Thomas Church,6927 Main Street,,Red Creek,NY,13143,true,false,43.250928,-76.7221072
catholic-parishes-eastern-wayne-county,st-jude,St. Jude Church,580 Main Street,,Fair Haven,NY,13064,true,false,43.316239,-76.7019125
st-jerome,st-jerome,Church of St. Jerome,207 Garfield Street,,East Rochester,NY,14445,true,true,43.1140815,-77.4878701
assumption-resurrection,assumption,Church of the Assumption,20 East Avenue,,Fairport,NY,14450,true,true,43.1051388,-77.4403658
assumption-resurrection,resurrection,Church of the Resurrection,63 Mason Road,,Fairport,NY,14450,true,true,43.0776551,-77.4106996
holy-spirit-st-josephs,holy-spirit,Holy Spirit Church,1355 Hatch Road,,Webster,NY,14580,true,true,43.1829688,-77.4854109
holy-spirit-st-josephs,st-josephs,St. Joseph's Church,43 Gebhardt Road,,Penfield,NY,14526,true,true,43.1357481,-77.4778718
